ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid
AAPL,2025-08-11,AAPL250912C00180000,AAPL,2025-09-12 20:00:00,call,180,2025-07-31 13:30:00,32,2025-08-11 20:00:00,47.9,11,48.5,49.1,110,40.48,65,0,True,47.18,1.32,227.18,False
AAPL,2025-08-11,AAPL250912C00185000,AAPL,2025-09-12 20:00:00,call,185,2025-07-31 13:30:00,32,2025-08-11 20:00:00,42.95,7,43.325,43.7,34,41.75,18,1,True,42.18,1.145,227.18,False
AAPL,2025-08-11,AAPL250912C00190000,AAPL,2025-09-12 20:00:00,call,190,2025-07-31 13:30:00,32,2025-08-11 20:00:00,38.1,7,38.9,39.7,107,41.47,20,0,True,37.18,1.72,227.18,False
AAPL,2025-08-11,AAPL250912C00195000,AAPL,2025-09-12 20:00:00,call,195,2025-07-31 13:30:00,32,2025-08-11 20:00:00,32.55,101,33.675,34.8,152,34.0,193,2,True,32.18,1.495,227.18,False
AAPL,2025-08-11,AAPL250912C00200000,AAPL,2025-09-12 20:00:00,call,200,2025-07-31 13:30:00,32,2025-08-11 20:00:00,27.8,176,28.45,29.1,7,29.05,301,9,True,27.18,1.27,227.18,False
AAPL,2025-08-11,AAPL250912C00205000,AAPL,2025-09-12 20:00:00,call,205,2025-07-31 13:30:00,32,2025-08-11 20:00:00,23.45,89,24.1,24.75,60,24.52,608,9,True,22.18,1.92,227.18,False
AAPL,2025-08-11,AAPL250912C00210000,AAPL,2025-09-12 20:00:00,call,210,2025-07-31 13:30:00,32,2025-08-11 20:00:00,18.65,165,19.25,19.85,2,19.4,835,330,True,17.18,2.07,227.18,False
AAPL,2025-08-11,AAPL250912C00215000,AAPL,2025-09-12 20:00:00,call,215,2025-07-31 13:30:00,32,2025-08-11 20:00:00,14.85,35,15.65,16.45,67,15.6,6243,5871,True,12.18,3.47,227.18,False
AAPL,2025-08-11,AAPL250912C00220000,AAPL,2025-09-12 20:00:00,call,220,2025-07-31 13:30:00,32,2025-08-11 20:00:00,11.65,5,12.225,12.8,92,11.8,1475,430,True,7.18,5.045,227.18,False
AAPL,2025-08-11,AAPL250912C00225000,AAPL,2025-09-12 20:00:00,call,225,2025-07-31 13:30:00,32,2025-08-11 20:00:00,8.35,11,8.525,8.7,12,8.31,1628,606,True,2.18,6.345,227.18,False
AAPL,2025-08-11,AAPL250912C00230000,AAPL,2025-09-12 20:00:00,call,230,2025-07-31 13:30:00,32,2025-08-11 20:00:00,5.7,1,6.1,6.5,57,5.8,8983,10506,False,0.0,6.1,227.18,False
AAPL,2025-08-11,AAPL250912C00235000,AAPL,2025-09-12 20:00:00,call,235,2025-07-31 13:30:00,32,2025-08-11 20:00:00,3.65,1,3.875,4.1,1,3.6,6856,1849,False,0.0,3.875,227.18,False
AAPL,2025-08-11,AAPL250912C00240000,AAPL,2025-09-12 20:00:00,call,240,2025-07-31 13:30:00,32,2025-08-11 20:00:00,2.06,2,2.205,2.35,10,2.26,4370,2059,False,0.0,2.205,227.18,False
AAPL,2025-08-11,AAPL250912C00245000,AAPL,2025-09-12 20:00:00,call,245,2025-07-31 13:30:00,32,2025-08-11 20:00:00,1.25,2,1.405,1.56,11,1.31,1566,625,False,0.0,1.405,227.18,False
AAPL,2025-08-11,AAPL250912C00250000,AAPL,2025-09-12 20:00:00,call,250,2025-07-31 13:30:00,32,2025-08-11 20:00:00,0.77,1,0.84,0.91,5,0.79,9240,9523,False,0.0,0.84,227.18,False
AAPL,2025-08-11,AAPL250912C00255000,AAPL,2025-09-12 20:00:00,call,255,2025-07-31 13:30:00,32,2025-08-11 20:00:00,0.45,11,0.57,0.69,10,0.48,615,806,False,0.0,0.57,227.18,False
AAPL,2025-08-11,AAPL250912C00260000,AAPL,2025-09-12 20:00:00,call,260,2025-07-31 13:30:00,32,2025-08-11 20:00:00,0.28,6,0.3,0.32,1,0.28,335,122,False,0.0,0.3,227.18,False
AAPL,2025-08-11,AAPL250912C00265000,AAPL,2025-09-12 20:00:00,call,265,2025-07-31 13:30:00,32,2025-08-11 20:00:00,0.18,1,0.19,0.2,10,0.19,183,70,False,0.0,0.19,227.18,False
AAPL,2025-08-11,AAPL250912C00270000,AAPL,2025-09-12 20:00:00,call,270,2025-07-31 13:30:00,32,2025-08-11 20:00:00,0.11,25,0.125,0.14,9,0.15,85,75,False,0.0,0.125,227.18,False
AAPL,2025-08-11,AAPL250912C00275000,AAPL,2025-09-12 20:00:00,call,275,2025-07-31 13:30:00,32,2025-08-11 20:00:00,0.08,7,0.09,0.1,18,0.13,135,12,False,0.0,0.09,227.18,False
AAPL,2025-08-11,AAPL250912P00180000,AAPL,2025-09-12 20:00:00,put,180,2025-07-31 13:30:00,32,2025-08-11 20:00:00,0.13,13,0.2,0.27,2,0.24,201,68,False,0.0,0.2,227.18,False
AAPL,2025-08-11,AAPL250912P00185000,AAPL,2025-09-12 20:00:00,put,185,2025-07-31 13:30:00,32,2025-08-11 20:00:00,0.19,18,0.275,0.36,3,0.29,480,91,False,0.0,0.275,227.18,False
AAPL,2025-08-11,AAPL250912P00190000,AAPL,2025-09-12 20:00:00,put,190,2025-07-31 13:30:00,32,2025-08-11 20:00:00,0.4,1,0.45,0.5,30,0.44,528,86,False,0.0,0.45,227.18,False
AAPL,2025-08-11,AAPL250912P00195000,AAPL,2025-09-12 20:00:00,put,195,2025-07-31 13:30:00,32,2025-08-11 20:00:00,0.35,6,0.505,0.66,8,0.6,288,197,False,0.0,0.505,227.18,False
AAPL,2025-08-11,AAPL250912P00200000,AAPL,2025-09-12 20:00:00,put,200,2025-07-31 13:30:00,32,2025-08-11 20:00:00,0.6,1,0.75,0.9,19,0.82,1199,287,False,0.0,0.75,227.18,False
AAPL,2025-08-11,AAPL250912P00205000,AAPL,2025-09-12 20:00:00,put,205,2025-07-31 13:30:00,32,2025-08-11 20:00:00,1.0,10,1.1,1.2,12,1.15,337,249,False,0.0,1.1,227.18,False
AAPL,2025-08-11,AAPL250912P00210000,AAPL,2025-09-12 20:00:00,put,210,2025-07-31 13:30:00,32,2025-08-11 20:00:00,1.48,1,1.665,1.85,12,1.69,966,310,False,0.0,1.665,227.18,False
AAPL,2025-08-11,AAPL250912P00215000,AAPL,2025-09-12 20:00:00,put,215,2025-07-31 13:30:00,32,2025-08-11 20:00:00,2.2,7,2.4,2.6,7,2.53,434,647,False,0.0,2.4,227.18,False
AAPL,2025-08-11,AAPL250912P00220000,AAPL,2025-09-12 20:00:00,put,220,2025-07-31 13:30:00,32,2025-08-11 20:00:00,3.55,5,3.775,4.0,6,3.75,599,435,False,0.0,3.775,227.18,False
AAPL,2025-08-11,AAPL250912P00225000,AAPL,2025-09-12 20:00:00,put,225,2025-07-31 13:30:00,32,2025-08-11 20:00:00,5.25,2,5.325,5.4,5,5.45,459,508,False,0.0,5.325,227.18,False
AAPL,2025-08-11,AAPL250912P00230000,AAPL,2025-09-12 20:00:00,put,230,2025-07-31 13:30:00,32,2025-08-11 20:00:00,7.25,38,7.85,8.45,50,8.0,1418,269,True,2.82,5.03,227.18,False
AAPL,2025-08-11,AAPL250912P00235000,AAPL,2025-09-12 20:00:00,put,235,2025-07-31 13:30:00,32,2025-08-11 20:00:00,10.1,1,10.85,11.6,1,10.65,13,38,True,7.82,3.03,227.18,False
AAPL,2025-08-11,AAPL250912P00240000,AAPL,2025-09-12 20:00:00,put,240,2025-07-31 13:30:00,32,2025-08-11 20:00:00,12.95,137,14.125,15.3,152,14.29,23,15,True,12.82,1.305,227.18,False
AAPL,2025-08-11,AAPL250912P00245000,AAPL,2025-09-12 20:00:00,put,245,2025-07-31 13:30:00,32,2025-08-11 20:00:00,16.4,148,17.475,18.55,3,18.45,86,81,True,17.82,0.345,227.18,False
AAPL,2025-08-11,AAPL250912P00250000,AAPL,2025-09-12 20:00:00,put,250,2025-07-31 13:30:00,32,2025-08-11 20:00:00,22.2,97,22.825,23.45,61,21.25,10,0,True,22.82,0.005,227.18,False
AAPL,2025-08-11,AAPL250912P00255000,AAPL,2025-09-12 20:00:00,put,255,2025-07-31 13:30:00,32,2025-08-11 20:00:00,27.25,98,28.125,29.0,186,0.0,0,0,True,27.82,0.305,227.18,False
AAPL,2025-08-11,AAPL250912P00260000,AAPL,2025-09-12 20:00:00,put,260,2025-07-31 13:30:00,32,2025-08-11 20:00:00,31.95,100,33.4,34.85,1,30.56,4,0,True,32.82,0.58,227.18,False
AAPL,2025-08-11,AAPL250912P00265000,AAPL,2025-09-12 20:00:00,put,265,2025-07-31 13:30:00,32,2025-08-11 20:00:00,37.15,95,38.3,39.45,105,40.25,1,0,True,37.82,0.48,227.18,False
AAPL,2025-08-11,AAPL250912P00270000,AAPL,2025-09-12 20:00:00,put,270,2025-07-31 13:30:00,32,2025-08-11 20:00:00,42.35,63,43.575,44.8,101,0.0,0,0,True,42.82,0.755,227.18,False
AAPL,2025-08-11,AAPL250912P00275000,AAPL,2025-09-12 20:00:00,put,275,2025-07-31 13:30:00,32,2025-08-11 20:00:00,47.3,78,48.375,49.45,105,0.0,0,0,True,47.82,0.555,227.18,False
