ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid
AMZN,2025-05-12,AMZN250516C00185000,AMZN,2025-05-16 20:00:00,call,185.0,2024-11-21 14:30:00,4,2025-05-12 20:00:00,23.8,6,23.875,23.95,5,23.9,5706,2601,True,23.64,0.235,208.64,False
AMZN,2025-05-12,AMZN250516C00187500,AMZN,2025-05-16 20:00:00,call,187.5,2025-04-21 13:30:00,4,2025-05-12 20:00:00,21.3,11,21.4,21.5,5,21.4,3051,883,True,21.14,0.26,208.64,False
AMZN,2025-05-12,AMZN250516C00190000,AMZN,2025-05-16 20:00:00,call,190.0,2024-11-21 14:30:00,4,2025-05-12 20:00:00,18.8,11,18.9,19.0,5,18.95,25211,5468,True,18.64,0.26,208.64,False
AMZN,2025-05-12,AMZN250516C00192500,AMZN,2025-05-16 20:00:00,call,192.5,2025-04-21 13:30:00,4,2025-05-12 20:00:00,16.35,22,16.45,16.55,6,16.61,5770,2972,True,16.14,0.31,208.64,False
AMZN,2025-05-12,AMZN250516C00195000,AMZN,2025-05-16 20:00:00,call,195.0,2024-11-21 14:30:00,4,2025-05-12 20:00:00,13.95,12,14.025,14.1,5,14.04,28510,18994,True,13.64,0.385,208.64,False
AMZN,2025-05-12,AMZN250516C00197500,AMZN,2025-05-16 20:00:00,call,197.5,2025-04-21 13:30:00,4,2025-05-12 20:00:00,11.55,7,11.7,11.85,5,11.81,19274,16749,True,11.14,0.56,208.64,False
AMZN,2025-05-12,AMZN250516C00200000,AMZN,2025-05-16 20:00:00,call,200.0,2024-11-21 14:30:00,4,2025-05-12 20:00:00,9.25,24,9.325,9.4,1,9.4,36302,26169,True,8.64,0.685,208.64,False
AMZN,2025-05-12,AMZN250516C00202500,AMZN,2025-05-16 20:00:00,call,202.5,2025-04-24 13:30:00,4,2025-05-12 20:00:00,7.1,26,7.175,7.25,7,7.35,22164,8587,True,6.14,1.035,208.64,False
AMZN,2025-05-12,AMZN250516C00205000,AMZN,2025-05-16 20:00:00,call,205.0,2024-11-21 14:30:00,4,2025-05-12 20:00:00,5.2,28,5.3,5.4,8,5.25,27636,25476,True,3.64,1.66,208.64,False
AMZN,2025-05-12,AMZN250516C00207500,AMZN,2025-05-16 20:00:00,call,207.5,2025-04-30 13:30:00,4,2025-05-12 20:00:00,3.55,45,3.625,3.7,5,3.65,2039,22414,True,1.14,2.485,208.64,False
AMZN,2025-05-12,AMZN250516C00210000,AMZN,2025-05-16 20:00:00,call,210.0,2024-11-21 14:30:00,4,2025-05-12 20:00:00,2.31,5,2.345,2.38,10,2.35,36147,73377,False,0.0,2.345,208.64,False
AMZN,2025-05-12,AMZN250516C00212500,AMZN,2025-05-16 20:00:00,call,212.5,2025-04-30 13:30:00,4,2025-05-12 20:00:00,1.41,5,1.435,1.46,27,1.43,2140,26921,False,0.0,1.435,208.64,False
AMZN,2025-05-12,AMZN250516C00215000,AMZN,2025-05-16 20:00:00,call,215.0,2024-11-21 14:30:00,4,2025-05-12 20:00:00,0.81,5,0.82,0.83,6,0.8,13035,45396,False,0.0,0.82,208.64,False
AMZN,2025-05-12,AMZN250516C00217500,AMZN,2025-05-16 20:00:00,call,217.5,2025-04-30 13:30:00,4,2025-05-12 20:00:00,0.45,11,0.465,0.48,20,0.46,794,22847,False,0.0,0.465,208.64,False
AMZN,2025-05-12,AMZN250516C00220000,AMZN,2025-05-16 20:00:00,call,220.0,2024-11-21 14:30:00,4,2025-05-12 20:00:00,0.26,1,0.265,0.27,913,0.26,18373,46797,False,0.0,0.265,208.64,False
AMZN,2025-05-12,AMZN250516C00222500,AMZN,2025-05-16 20:00:00,call,222.5,2025-04-30 13:30:00,4,2025-05-12 20:00:00,0.14,97,0.15,0.16,257,0.16,921,3630,False,0.0,0.15,208.64,False
AMZN,2025-05-12,AMZN250516C00225000,AMZN,2025-05-16 20:00:00,call,225.0,2024-11-21 14:30:00,4,2025-05-12 20:00:00,0.09,38,0.095,0.1,80,0.1,11696,12545,False,0.0,0.095,208.64,False
AMZN,2025-05-12,AMZN250516C00227500,AMZN,2025-05-16 20:00:00,call,227.5,2025-04-30 13:30:00,4,2025-05-12 20:00:00,0.06,22,0.065,0.07,36,0.06,505,1796,False,0.0,0.065,208.64,False
AMZN,2025-05-12,AMZN250516C00230000,AMZN,2025-05-16 20:00:00,call,230.0,2024-11-21 14:30:00,4,2025-05-12 20:00:00,0.04,61,0.045,0.05,36,0.04,22097,5655,False,0.0,0.045,208.64,False
AMZN,2025-05-12,AMZN250516C00232500,AMZN,2025-05-16 20:00:00,call,232.5,2025-04-30 13:30:00,4,2025-05-12 20:00:00,0.03,30,0.035,0.04,13,0.04,102,654,False,0.0,0.035,208.64,False
AMZN,2025-05-12,AMZN250516P00185000,AMZN,2025-05-16 20:00:00,put,185.0,2024-11-21 14:30:00,4,2025-05-12 20:00:00,0.09,12,0.095,0.1,10,0.1,13797,5376,False,0.0,0.095,208.64,False
AMZN,2025-05-12,AMZN250516P00187500,AMZN,2025-05-16 20:00:00,put,187.5,2025-04-21 13:30:00,4,2025-05-12 20:00:00,0.11,13,0.115,0.12,12,0.11,3901,2295,False,0.0,0.115,208.64,False
