ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,iv,delta,gamma,theta,vega,is_illiquid
NVDA,2025-05-12,NVDA251121C00075000,NVDA,2025-11-21 21:00:00,call,75,2025-02-10 14:30:00,193,2025-05-12 20:00:00,51.0,56,51.525,52.05,52,46.5,285,0,True,48,3.525,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00080000,NVDA,2025-11-21 21:00:00,call,80,2025-02-10 14:30:00,193,2025-05-12 20:00:00,46.6,22,47.15,47.7,173,46.3,4808,22,True,43,4.15,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00085000,NVDA,2025-11-21 21:00:00,call,85,2025-02-10 14:30:00,193,2025-05-12 20:00:00,42.5,80,42.9,43.3,179,42.51,1062,11,True,38,4.9,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00090000,NVDA,2025-11-21 21:00:00,call,90,2025-02-10 14:30:00,193,2025-05-12 20:00:00,38.7,23,38.85,39.0,32,38.65,1060,12,True,33,5.85,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00095000,NVDA,2025-11-21 21:00:00,call,95,2025-02-10 14:30:00,193,2025-05-12 20:00:00,34.85,51,34.95,35.05,34,34.55,2058,167,True,28,6.95,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00100000,NVDA,2025-11-21 21:00:00,call,100,2025-02-10 14:30:00,193,2025-05-12 20:00:00,31.25,45,31.325,31.4,2,31.3,3742,759,True,23,8.325,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00105000,NVDA,2025-11-21 21:00:00,call,105,2025-02-10 14:30:00,193,2025-05-12 20:00:00,27.8,78,27.9,28.0,38,27.3,6948,94,True,18,9.9,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00110000,NVDA,2025-11-21 21:00:00,call,110,2025-02-10 14:30:00,193,2025-05-12 20:00:00,24.65,2,24.725,24.8,42,24.7,3886,139,True,13,11.725,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00115000,NVDA,2025-11-21 21:00:00,call,115,2025-02-10 14:30:00,193,2025-05-12 20:00:00,21.7,70,21.775,21.85,52,21.22,3941,219,True,8,13.775,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00120000,NVDA,2025-11-21 21:00:00,call,120,2025-02-10 14:30:00,193,2025-05-12 20:00:00,19.0,74,19.05,19.1,1,19.05,4902,697,True,3,16.05,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00125000,NVDA,2025-11-21 21:00:00,call,125,2025-02-10 14:30:00,193,2025-05-12 20:00:00,16.55,50,16.6,16.65,50,16.5,3547,402,False,0,16.6,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00130000,NVDA,2025-11-21 21:00:00,call,130,2025-02-10 14:30:00,193,2025-05-12 20:00:00,14.3,198,14.375,14.45,67,14.25,6118,970,False,0,14.375,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00135000,NVDA,2025-11-21 21:00:00,call,135,2025-02-10 14:30:00,193,2025-05-12 20:00:00,12.35,52,12.4,12.45,86,12.3,3615,706,False,0,12.4,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00140000,NVDA,2025-11-21 21:00:00,call,140,2025-02-10 14:30:00,193,2025-05-12 20:00:00,10.6,75,10.65,10.7,106,10.3,6655,593,False,0,10.65,123,,,,,,False
NVDA,2025-05-12,NVDA251121C00145000,NVDA,2025-11-21 21:00:00,call,145,2025-02-10 14:30:00,193,2025-05-12 20:00:00,9.05,135,9.1,9.15,78,9.05,8357,264,False,0,9.1,123,,,,,,False
