ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,iv,delta,gamma,theta,vega,is_illiquid
PG,2025-09-02,PG251121C00110000,PG,2025-11-21 21:00:00,call,110,2025-08-12 13:30:00,80,2025-09-02 20:00:00,46.75,6,48.7,50.65,5,0.0,0,0,True,47.99,0.71,157.99,,,,,,False
PG,2025-09-02,PG251121C00115000,PG,2025-11-21 21:00:00,call,115,2025-08-12 13:30:00,80,2025-09-02 20:00:00,42.0,11,43.875,45.75,12,0.0,0,0,True,42.99,0.885,157.99,,,,,,False
PG,2025-09-02,PG251121C00120000,PG,2025-11-21 21:00:00,call,120,2025-08-12 13:30:00,80,2025-09-02 20:00:00,37.05,11,38.925,40.8,12,0.0,0,0,True,37.99,0.935,157.99,,,,,,False
PG,2025-09-02,PG251121C00125000,PG,2025-11-21 21:00:00,call,125,2025-08-12 13:30:00,80,2025-09-02 20:00:00,33.45,11,34.675,35.9,12,0.0,0,0,True,32.99,1.685,157.99,,,,,,False
PG,2025-09-02,PG251121C00130000,PG,2025-11-21 21:00:00,call,130,2025-08-12 13:30:00,80,2025-09-02 20:00:00,28.6,11,29.025,29.45,11,27.01,3,0,True,27.99,1.035,157.99,,,,,,False
PG,2025-09-02,PG251121C00135000,PG,2025-11-21 21:00:00,call,135,2025-08-12 13:30:00,80,2025-09-02 20:00:00,23.85,11,24.225,24.6,11,21.82,2,0,True,22.99,1.235,157.99,,,,,,False
PG,2025-09-02,PG251121C00140000,PG,2025-11-21 21:00:00,call,140,2025-08-12 13:30:00,80,2025-09-02 20:00:00,19.3,11,19.65,20.0,11,18.92,4,0,True,17.99,1.66,157.99,,,,,,False
PG,2025-09-02,PG251121C00145000,PG,2025-11-21 21:00:00,call,145,2025-08-12 13:30:00,80,2025-09-02 20:00:00,14.85,13,15.25,15.65,17,14.5,16,0,True,12.99,2.26,157.99,,,,,,False
PG,2025-09-02,PG251121C00150000,PG,2025-11-21 21:00:00,call,150,2025-08-12 13:30:00,80,2025-09-02 20:00:00,10.1,53,10.8,11.5,24,11.65,125,1,True,7.99,2.81,157.99,,,,,,False
PG,2025-09-02,PG251121C00155000,PG,2025-11-21 21:00:00,call,155,2025-08-12 13:30:00,80,2025-09-02 20:00:00,7.55,37,7.675,7.8,12,7.8,92,37,True,2.99,4.685,157.99,,,,,,False
PG,2025-09-02,PG251121C00160000,PG,2025-11-21 21:00:00,call,160,2025-08-12 13:30:00,80,2025-09-02 20:00:00,4.8,19,4.875,4.95,42,4.9,1429,589,False,0.0,4.875,157.99,,,,,,False
PG,2025-09-02,PG251121C00165000,PG,2025-11-21 21:00:00,call,165,2025-08-12 13:30:00,80,2025-09-02 20:00:00,2.71,13,3.005,3.3,15,2.88,1335,402,False,0.0,3.005,157.99,,,,,,False
PG,2025-09-02,PG251121C00170000,PG,2025-11-21 21:00:00,call,170,2025-08-12 13:30:00,80,2025-09-02 20:00:00,1.46,16,1.53,1.6,23,1.55,1557,63,False,0.0,1.53,157.99,,,,,,False
PG,2025-09-02,PG251121C00175000,PG,2025-11-21 21:00:00,call,175,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.72,11,0.835,0.95,16,1.07,536,136,False,0.0,0.835,157.99,,,,,,False
PG,2025-09-02,PG251121C00180000,PG,2025-11-21 21:00:00,call,180,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.35,11,0.445,0.54,14,0.59,53,22,False,0.0,0.445,157.99,,,,,,False
PG,2025-09-02,PG251121C00185000,PG,2025-11-21 21:00:00,call,185,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.1,132,0.24,0.38,51,0.15,40,1,False,0.0,0.24,157.99,,,,,,False
PG,2025-09-02,PG251121C00190000,PG,2025-11-21 21:00:00,call,190,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.01,43,0.13,0.25,21,0.0,0,0,False,0.0,0.13,157.99,,,,,,False
PG,2025-09-02,PG251121C00195000,PG,2025-11-21 21:00:00,call,195,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.0,0,1.095,2.19,37,0.0,0,0,False,0.0,1.095,157.99,,,,,,True
PG,2025-09-02,PG251121C00200000,PG,2025-11-21 21:00:00,call,200,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.0,0,1.08,2.16,26,0.0,0,0,False,0.0,1.08,157.99,,,,,,True
PG,2025-09-02,PG251121C00210000,PG,2025-11-21 21:00:00,call,210,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.0,0,1.065,2.13,27,0.01,2,0,False,0.0,1.065,157.99,,,,,,True
PG,2025-09-02,PG251121P00110000,PG,2025-11-21 21:00:00,put,110,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.0,0,1.12,2.24,27,0.16,2,0,False,0.0,1.12,157.99,,,,,,True
PG,2025-09-02,PG251121P00115000,PG,2025-11-21 21:00:00,put,115,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.0,0,1.145,2.29,19,0.0,0,0,False,0.0,1.145,157.99,,,,,,True
PG,2025-09-02,PG251121P00120000,PG,2025-11-21 21:00:00,put,120,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.0,0,0.25,0.5,48,0.27,1,0,False,0.0,0.25,157.99,,,,,,True
PG,2025-09-02,PG251121P00125000,PG,2025-11-21 21:00:00,put,125,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.0,0,1.245,2.49,26,0.46,1,0,False,0.0,1.245,157.99,,,,,,True
PG,2025-09-02,PG251121P00130000,PG,2025-11-21 21:00:00,put,130,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.4,19,0.525,0.65,26,0.67,17,0,False,0.0,0.525,157.99,,,,,,False
PG,2025-09-02,PG251121P00135000,PG,2025-11-21 21:00:00,put,135,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.66,7,0.99,1.32,1,0.75,144,5,False,0.0,0.99,157.99,,,,,,False
PG,2025-09-02,PG251121P00140000,PG,2025-11-21 21:00:00,put,140,2025-08-12 13:30:00,80,2025-09-02 20:00:00,0.98,23,1.17,1.36,23,1.14,628,117,False,0.0,1.17,157.99,,,,,,False
PG,2025-09-02,PG251121P00145000,PG,2025-11-21 21:00:00,put,145,2025-08-12 13:30:00,80,2025-09-02 20:00:00,1.43,11,1.835,2.24,17,1.89,388,19,False,0.0,1.835,157.99,,,,,,False
PG,2025-09-02,PG251121P00150000,PG,2025-11-21 21:00:00,put,150,2025-08-12 13:30:00,80,2025-09-02 20:00:00,2.44,161,2.82,3.2,198,2.8,885,227,False,0.0,2.82,157.99,,,,,,False
PG,2025-09-02,PG251121P00155000,PG,2025-11-21 21:00:00,put,155,2025-08-12 13:30:00,80,2025-09-02 20:00:00,2.8,35,4.45,6.1,24,4.25,335,67,False,0.0,4.45,157.99,,,,,,False
PG,2025-09-02,PG251121P00160000,PG,2025-11-21 21:00:00,put,160,2025-08-12 13:30:00,80,2025-09-02 20:00:00,6.3,1,7.45,8.6,28,6.4,124,18,True,2.01,5.44,157.99,,,,,,False
PG,2025-09-02,PG251121P00165000,PG,2025-11-21 21:00:00,put,165,2025-08-12 13:30:00,80,2025-09-02 20:00:00,9.3,16,9.625,9.95,18,11.1,7,0,True,7.01,2.615,157.99,,,,,,False
PG,2025-09-02,PG251121P00170000,PG,2025-11-21 21:00:00,put,170,2025-08-12 13:30:00,80,2025-09-02 20:00:00,13.05,16,13.35,13.65,17,16.0,2,0,True,12.01,1.34,157.99,,,,,,False
PG,2025-09-02,PG251121P00175000,PG,2025-11-21 21:00:00,put,175,2025-08-12 13:30:00,80,2025-09-02 20:00:00,17.35,11,17.675,18.0,16,0.0,0,0,True,17.01,0.665,157.99,,,,,,False
PG,2025-09-02,PG251121P00180000,PG,2025-11-21 21:00:00,put,180,2025-08-12 13:30:00,80,2025-09-02 20:00:00,21.95,11,22.325,22.7,11,20.45,0,0,True,22.01,0.315,157.99,,,,,,False
PG,2025-09-02,PG251121P00185000,PG,2025-11-21 21:00:00,put,185,2025-08-12 13:30:00,80,2025-09-02 20:00:00,26.85,11,27.175,27.5,11,0.0,0,0,True,27.01,0.165,157.99,,,,,,False
