ticker,collection_date,phase,days_from_apr2,optionSymbol,side,expiration,dte,underlyingPrice,strike,moneyness,moneyness_pct,moneyness_cat,bid,ask,mid,last,spread,relative_spread,is_illiquid,bidSize,askSize,volume,openInterest,intrinsicValue,extrinsicValue,inTheMoney,realised_vol,underlying,firstTraded,updated
NVDA,2025-03-24,1,-9,NVDA250328C00112000,call,2025-03-28 20:00:00,4,121.41,112.0,0.9224940284984764,-7.750597150152373,ITM,9.1,10.1,9.6,9.69,1.0,0.1041666666666666,False,76,123,1188,3809,9.41,0.19,True,,NVDA,2025-02-06 14:30:00,2025-03-24 20:00:00
NVDA,2025-03-24,1,-9,NVDA250328C00113000,call,2025-03-28 20:00:00,4,121.41,113.0,0.9307305823243556,-6.926941767564449,ITM,8.4,9.1,8.75,8.72,0.6999999999999993,0.0799999999999999,False,3,120,922,2390,8.41,0.34,True,,NVDA,2025-02-06 14:30:00,2025-03-24 20:00:00
NVDA,2025-03-24,1,-9,NVDA250328C00114000,call,2025-03-28 20:00:00,4,121.41,114.0,0.9389671361502347,-6.103286384976523,ITM,7.45,8.0,7.725,8.08,0.5499999999999998,0.0711974110032362,False,2,99,2389,5436,7.41,0.315,True,,NVDA,2025-02-06 14:30:00,2025-03-24 20:00:00
NVDA,2025-03-24,1,-9,NVDA250328C00115000,call,2025-03-28 20:00:00,4,121.41,115.0,0.947203689976114,-5.279631002388598,ITM,6.65,6.85,6.75,6.67,0.1999999999999993,0.0296296296296295,False,8,2174,7539,14556,6.41,0.34,True,,NVDA,2025-02-06 14:30:00,2025-03-24 20:00:00
NVDA,2025-03-24,1,-9,NVDA250328C00116000,call,2025-03-28 20:00:00,4,121.41,116.0,0.9554402438019932,-4.455975619800673,ITM,5.75,5.9,5.825,5.88,0.1500000000000003,0.0257510729613734,False,1,65,6156,6135,5.41,0.415,True,,NVDA,2025-02-06 14:30:00,2025-03-24 20:00:00
NVDA,2025-03-24,1,-9,NVDA250328C00117000,call,2025-03-28 20:00:00,4,121.41,117.0,0.9636767976278724,-3.632320237212747,ITM,4.9,5.05,4.975,5.0,0.1499999999999994,0.0301507537688441,False,26,28,12392,14647,4.41,0.565,True,,NVDA,2025-02-06 14:30:00,2025-03-24 20:00:00
NVDA,2025-03-24,1,-9,NVDA250328C00118000,call,2025-03-28 20:00:00,4,121.41,118.0,0.9719133514537518,-2.8086648546248223,ATM,4.1,4.25,4.175,4.2,0.1500000000000003,0.0359281437125749,False,50,30,21490,16030,3.41,0.765,True,,NVDA,2025-02-06 14:30:00,2025-03-24 20:00:00
NVDA,2025-03-24,1,-9,NVDA250328C00119000,call,2025-03-28 20:00:00,4,121.41,119.0,0.9801499052796312,-1.9850094720368967,ATM,3.4,3.5,3.45,3.47,0.1,0.0289855072463768,False,69,59,20510,11748,2.41,1.04,True,,NVDA,2025-02-06 14:30:00,2025-03-24 20:00:00
NVDA,2025-03-24,1,-9,NVDA250328C00120000,call,2025-03-28 20:00:00,4,121.41,120.0,0.9883864591055104,-1.1613540894489718,ATM,2.79,2.8,2.795,2.8,0.0099999999999997,0.0035778175313058,False,20,13,106355,90376,1.41,1.385,True,,NVDA,2025-02-06 14:30:00,2025-03-24 20:00:00
NVDA,2025-03-24,1,-9,NVDA250328C00121000,call,2025-03-28 20:00:00,4,121.41,121.0,0.9966230129313896,-0.3376987068610465,ATM,2.2,2.23,2.215,2.25,0.0299999999999998,0.0135440180586906,False,1,33,78686,18563,0.41,1.805,True,,NVDA,2025-02-06 14:30:00,2025-03-24 20:00:00
NVDA,2025-03-24,1,-9,NVDA250328C00122000,call,2025-03-28 20:00:00,4,121.41,122.0,1.0048595667572688,0.4859566757268787,ATM,1.71,1.73,1.72,1.74,0.02,0.0116279069767441,False,30,5,103705,34650,0.0,1.72,False,,NVDA,2025-02-06 14:30:00,2025-03-24 20:00:00
