ticker,collection_date,phase,days_from_apr2,optionSymbol,side,expiration,dte,underlyingPrice,strike,moneyness,moneyness_pct,moneyness_cat,bid,ask,mid,last,spread,relative_spread,is_illiquid,bidSize,askSize,volume,openInterest,intrinsicValue,extrinsicValue,inTheMoney,realised_vol,underlying,firstTraded,updated
PG,2025-03-24,1,-9,PG250328C00145000,call,2025-03-28 20:00:00,4,165.65,145.0,0.8753395713854513,-12.466042861454875,ITM,18.65,21.05,19.85,0.0,2.400000000000002,0.1209068010075567,False,71,5,0,0,20.65,0.8,True,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00146000,call,2025-03-28 20:00:00,4,165.65,146.0,0.8813763960156957,-11.862360398430429,ITM,19.5,20.25,19.875,0.0,0.75,0.0377358490566037,False,23,26,0,0,19.65,0.225,True,,PG,2025-03-18 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00147000,call,2025-03-28 20:00:00,4,165.65,147.0,0.8874132206459402,-11.25867793540598,ITM,18.5,19.15,18.825,0.0,0.6499999999999986,0.0345285524568392,False,28,5,0,0,18.65,0.175,True,,PG,2025-03-18 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00148000,call,2025-03-28 20:00:00,4,165.65,148.0,0.8934500452761847,-10.65499547238153,ITM,17.55,18.15,17.85,18.55,0.5999999999999979,0.0336134453781511,False,15,20,0,5,17.65,0.2,True,,PG,2025-03-18 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00149000,call,2025-03-28 20:00:00,4,165.65,149.0,0.8994868699064292,-10.05131300935708,ITM,16.6,17.8,17.2,0.0,1.1999999999999993,0.069767441860465,False,5,71,0,0,16.65,0.55,True,,PG,2025-03-18 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00150000,call,2025-03-28 20:00:00,4,165.65,150.0,0.9055236945366736,-9.447630546332633,ITM,15.6,16.05,15.825,19.6,0.450000000000001,0.028436018957346,False,12,17,0,1,15.65,0.175,True,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00152500,call,2025-03-28 20:00:00,4,165.65,152.5,0.9206157561122849,-7.938424388771509,ITM,13.05,13.6,13.325,0.0,0.5499999999999989,0.0412757973733582,False,15,19,0,0,13.15,0.175,True,,PG,2025-03-10 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00155000,call,2025-03-28 20:00:00,4,165.65,155.0,0.935707817687896,-6.429218231210386,ITM,10.55,11.15,10.85,11.7,0.5999999999999996,0.0552995391705068,False,15,15,4,1,10.65,0.2,True,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00157500,call,2025-03-28 20:00:00,4,165.65,157.5,0.9507998792635074,-4.920012073649263,ITM,8.1,8.75,8.425,11.75,0.6500000000000004,0.0771513353115727,False,14,16,0,8,8.15,0.275,True,,PG,2025-03-10 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00160000,call,2025-03-28 20:00:00,4,165.65,160.0,0.9658919408391186,-3.4108059160881408,ITM,5.7,6.15,5.925,6.3,0.4500000000000002,0.0759493670886076,False,11,5,5,16,5.65,0.275,True,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00162500,call,2025-03-28 20:00:00,4,165.65,162.5,0.9809840024147298,-1.9015997585270183,ATM,2.95,3.7,3.325,3.53,0.75,0.225563909774436,False,97,12,35,1,3.15,0.175,True,,PG,2025-03-10 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00165000,call,2025-03-28 20:00:00,4,165.65,165.0,0.9960760639903412,-0.3923936009658954,ATM,1.51,1.71,1.61,1.68,0.1999999999999999,0.124223602484472,False,6,10,92,49,0.65,0.96,True,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00167500,call,2025-03-28 20:00:00,4,165.65,167.5,1.0111681255659524,1.1168125565952274,ATM,0.46,0.57,0.515,0.51,0.1099999999999999,0.2135922330097086,False,36,1,431,889,0.0,0.515,False,,PG,2025-03-10 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00170000,call,2025-03-28 20:00:00,4,165.65,170.0,1.0262601871415635,2.6260187141563502,ATM,0.13,0.19,0.16,0.13,0.06,0.375,False,2,52,1018,589,0.0,0.16,False,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00172500,call,2025-03-28 20:00:00,4,165.65,172.5,1.041352248717175,4.135224871717473,OTM,0.04,0.05,0.045,0.04,0.01,0.2222222222222222,False,5,1,464,3035,0.0,0.045,False,,PG,2025-03-10 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00175000,call,2025-03-28 20:00:00,4,165.65,175.0,1.0564443102927858,5.644431029278596,OTM,0.02,0.03,0.025,0.02,0.0099999999999999,0.3999999999999999,False,1,25,494,4347,0.0,0.025,False,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00177500,call,2025-03-28 20:00:00,4,165.65,177.5,1.0715363718683972,7.153637186839719,OTM,0.0,0.05,0.025,0.02,0.05,2.0,True,0,1,1,165,0.0,0.025,False,,PG,2025-03-10 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00180000,call,2025-03-28 20:00:00,4,165.65,180.0,1.0866284334440084,8.662843344400843,OTM,0.0,0.1,0.05,0.01,0.1,2.0,True,0,84,29,2718,0.0,0.05,False,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00182500,call,2025-03-28 20:00:00,4,165.65,182.5,1.1017204950196196,10.172049501961965,OTM,0.0,0.25,0.125,0.2,0.25,2.0,True,0,199,0,2,0.0,0.125,False,,PG,2025-03-10 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328C00185000,call,2025-03-28 20:00:00,4,165.65,185.0,1.116812556595231,11.681255659523089,OTM,0.0,0.01,0.005,0.05,0.01,2.0,True,0,2,0,669,0.0,0.005,False,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00145000,put,2025-03-28 20:00:00,4,165.65,145.0,0.8753395713854513,-12.466042861454875,OTM,0.0,1.27,0.635,0.0,1.27,2.0,True,0,71,0,0,0.0,0.635,False,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00146000,put,2025-03-28 20:00:00,4,165.65,146.0,0.8813763960156957,-11.862360398430429,OTM,0.0,0.29,0.145,0.0,0.29,2.0,True,0,62,0,0,0.0,0.145,False,,PG,2025-03-18 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00147000,put,2025-03-28 20:00:00,4,165.65,147.0,0.8874132206459402,-11.25867793540598,OTM,0.0,0.09,0.045,0.0,0.09,2.0,True,0,5,0,0,0.0,0.045,False,,PG,2025-03-18 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00148000,put,2025-03-28 20:00:00,4,165.65,148.0,0.8934500452761847,-10.65499547238153,OTM,0.0,1.27,0.635,0.0,1.27,2.0,True,0,71,0,0,0.0,0.635,False,,PG,2025-03-18 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00149000,put,2025-03-28 20:00:00,4,165.65,149.0,0.8994868699064292,-10.05131300935708,OTM,0.0,1.27,0.635,0.0,1.27,2.0,True,0,85,0,0,0.0,0.635,False,,PG,2025-03-18 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00150000,put,2025-03-28 20:00:00,4,165.65,150.0,0.9055236945366736,-9.447630546332633,OTM,0.0,0.03,0.015,0.2,0.03,2.0,True,0,1,0,3,0.0,0.015,False,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00152500,put,2025-03-28 20:00:00,4,165.65,152.5,0.9206157561122849,-7.938424388771509,OTM,0.0,0.06,0.03,0.05,0.06,2.0,True,0,48,0,77,0.0,0.03,False,,PG,2025-03-10 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00155000,put,2025-03-28 20:00:00,4,165.65,155.0,0.935707817687896,-6.429218231210386,OTM,0.02,0.13,0.075,0.05,0.11,1.4666666666666668,False,5,229,20,65,0.0,0.075,False,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
