ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid,spread,relative_spread,moneyness,moneyness_pct,moneyness_cat,phase,days_from_apr2
AMZN,2025-04-17,AMZN250516C00100000,AMZN,2025-05-16 20:00:00,call,100,2024-11-21 14:30:00,29,2025-04-17 20:00:00,72.1,27,73.35,74.6,206,74.9,543,1,True,72.61,0.74,172.61,False,2.5,0.03408316291751875,0.5793407102717107,-42.06592897282893,ITM,2,15
AMZN,2025-04-17,AMZN250516C00105000,AMZN,2025-05-16 20:00:00,call,105,2024-11-21 14:30:00,29,2025-04-17 20:00:00,67.75,188,68.35,68.95,115,69.84,149,1,True,67.61,0.74,172.61,False,1.2000000000000028,0.017556693489392875,0.6083077457852963,-39.16922542147037,ITM,2,15
AMZN,2025-04-17,AMZN250516C00110000,AMZN,2025-05-16 20:00:00,call,110,2024-11-21 14:30:00,29,2025-04-17 20:00:00,62.95,140,63.525,64.1,156,62.69,86,0,True,62.61,0.915,172.61,False,1.1499999999999915,0.01810310901219979,0.6372747812988818,-36.27252187011182,ITM,2,15
AMZN,2025-04-17,AMZN250516C00115000,AMZN,2025-05-16 20:00:00,call,115,2024-11-21 14:30:00,29,2025-04-17 20:00:00,57.8,151,58.6,59.4,151,59.04,178,4,True,57.61,0.99,172.61,False,1.6000000000000014,0.02730375426621163,0.6662418168124674,-33.37581831875326,ITM,2,15
AMZN,2025-04-17,AMZN250516C00120000,AMZN,2025-05-16 20:00:00,call,120,2024-11-21 14:30:00,29,2025-04-17 20:00:00,51.0,13,52.95,54.9,12,53.55,3977,37,True,52.61,0.34,172.61,False,3.8999999999999986,0.07365439093484416,0.6952088523260529,-30.479114767394712,ITM,2,15
AMZN,2025-04-17,AMZN250516C00125000,AMZN,2025-05-16 20:00:00,call,125,2024-11-21 14:30:00,29,2025-04-17 20:00:00,47.6,93,48.9,50.2,183,53.0,361,0,True,47.61,1.29,172.61,False,2.6000000000000014,0.05316973415132927,0.7241758878396385,-27.582411216036157,ITM,2,15
AMZN,2025-04-17,AMZN250516C00130000,AMZN,2025-05-16 20:00:00,call,130,2024-11-21 14:30:00,29,2025-04-17 20:00:00,42.9,71,44.075,45.25,151,44.15,3099,12,True,42.61,1.465,172.61,False,2.3500000000000014,0.053318207600680685,0.753142923353224,-24.685707664677604,ITM,2,15
AMZN,2025-04-17,AMZN250516C00135000,AMZN,2025-05-16 20:00:00,call,135,2024-11-21 14:30:00,29,2025-04-17 20:00:00,38.05,91,38.875,39.7,52,39.74,169,1,True,37.61,1.265,172.61,False,1.6500000000000057,0.04244372990353713,0.7821099588668096,-21.78900411331905,ITM,2,15
AMZN,2025-04-17,AMZN250516C00140000,AMZN,2025-05-16 20:00:00,call,140,2024-11-21 14:30:00,29,2025-04-17 20:00:00,33.5,202,34.675,35.85,151,35.12,4240,12,True,32.61,2.065,172.61,False,2.3500000000000014,0.06777217015140596,0.811076994380395,-18.892300561960496,ITM,2,15
AMZN,2025-04-17,AMZN250516C00145000,AMZN,2025-05-16 20:00:00,call,145,2024-11-21 14:30:00,29,2025-04-17 20:00:00,28.8,164,29.775,30.75,102,30.7,326,23,True,27.61,2.165,172.61,False,1.9499999999999993,0.06549118387909318,0.8400440298939806,-15.995597010601943,ITM,2,15
AMZN,2025-04-17,AMZN250516C00150000,AMZN,2025-05-16 20:00:00,call,150,2024-11-21 14:30:00,29,2025-04-17 20:00:00,24.75,151,25.275,25.8,26,25.44,457,409,True,22.61,2.665,172.61,False,1.0500000000000007,0.04154302670623149,0.8690110654075661,-13.098893459243389,ITM,2,15
AMZN,2025-04-17,AMZN250516C00155000,AMZN,2025-05-16 20:00:00,call,155,2024-11-21 14:30:00,29,2025-04-17 20:00:00,20.65,196,21.175,21.7,6,21.32,2022,423,True,17.61,3.565,172.61,False,1.0500000000000007,0.04958677685950416,0.8979781009211517,-10.202189907884835,ITM,2,15
AMZN,2025-04-17,AMZN250516C00160000,AMZN,2025-05-16 20:00:00,call,160,2024-11-21 14:30:00,29,2025-04-17 20:00:00,16.6,216,17.675,18.75,273,17.5,4266,134,True,12.61,5.065,172.61,False,2.1499999999999986,0.12164073550212155,0.9269451364347372,-7.305486356526281,ITM,2,15
AMZN,2025-04-17,AMZN250516C00165000,AMZN,2025-05-16 20:00:00,call,165,2024-11-21 14:30:00,29,2025-04-17 20:00:00,13.95,50,14.05,14.15,13,13.85,1792,198,True,7.61,6.44,172.61,False,0.20000000000000107,0.014234875444839933,0.9559121719483228,-4.408782805167727,ITM,2,15
AMZN,2025-04-17,AMZN250516C00170000,AMZN,2025-05-16 20:00:00,call,170,2024-11-21 14:30:00,29,2025-04-17 20:00:00,10.85,5,10.925,11.0,6,11.0,3359,671,True,2.61,8.315,172.61,False,0.15000000000000036,0.013729977116704838,0.9848792074619083,-1.512079253809173,ATM,2,15
AMZN,2025-04-17,AMZN250516C00175000,AMZN,2025-05-16 20:00:00,call,175,2024-11-21 14:30:00,29,2025-04-17 20:00:00,8.05,28,8.125,8.2,53,8.15,4342,1160,False,0.0,8.125,172.61,False,0.14999999999999858,0.018461538461538286,1.0138462429754937,1.3846242975493808,ATM,2,15
AMZN,2025-04-17,AMZN250516C00180000,AMZN,2025-05-16 20:00:00,call,180,2024-11-21 14:30:00,29,2025-04-17 20:00:00,5.7,20,5.775,5.85,6,5.85,6798,1716,False,0.0,5.775,172.61,False,0.14999999999999947,0.02597402597402588,1.0428132784890793,4.281327848907934,OTM,2,15
AMZN,2025-04-17,AMZN250516C00185000,AMZN,2025-05-16 20:00:00,call,185,2024-11-21 14:30:00,29,2025-04-17 20:00:00,3.85,90,3.925,4.0,20,3.91,5502,1762,False,0.0,3.925,172.61,False,0.1499999999999999,0.03821656050955412,1.071780314002665,7.178031400266488,OTM,2,15
AMZN,2025-04-17,AMZN250516C00190000,AMZN,2025-05-16 20:00:00,call,190,2024-11-21 14:30:00,29,2025-04-17 20:00:00,2.52,43,2.56,2.6,1,2.58,20493,4609,False,0.0,2.56,172.61,False,0.08000000000000007,0.03125000000000003,1.1007473495162505,10.074734951625041,OTM,2,15
AMZN,2025-04-17,AMZN250516C00195000,AMZN,2025-05-16 20:00:00,call,195,2024-11-21 14:30:00,29,2025-04-17 20:00:00,1.6,35,1.64,1.68,12,1.65,12499,1678,False,0.0,1.64,172.61,False,0.07999999999999985,0.04878048780487796,1.129714385029836,12.971438502983595,OTM,2,15
AMZN,2025-04-17,AMZN250516C00200000,AMZN,2025-05-16 20:00:00,call,200,2024-11-21 14:30:00,29,2025-04-17 20:00:00,1.03,2,1.055,1.08,27,1.04,18459,5074,False,0.0,1.055,172.61,False,0.050000000000000044,0.04739336492891,1.1586814205434215,15.86814205434215,OTM,2,15
AMZN,2025-04-17,AMZN250516C00205000,AMZN,2025-05-16 20:00:00,call,205,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.65,55,0.675,0.7,7,0.68,10298,1243,False,0.0,0.675,172.61,False,0.04999999999999993,0.07407407407407397,1.187648456057007,18.764845605700703,OTM,2,15
AMZN,2025-04-17,AMZN250516C00210000,AMZN,2025-05-16 20:00:00,call,210,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.45,1,0.475,0.5,45,0.45,23921,5214,False,0.0,0.475,172.61,False,0.04999999999999999,0.10526315789473682,1.2166154915705927,21.661549157059255,OTM,2,15
AMZN,2025-04-17,AMZN250516C00215000,AMZN,2025-05-16 20:00:00,call,215,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.31,29,0.33,0.35,193,0.32,13712,1461,False,0.0,0.33,172.61,False,0.03999999999999998,0.12121212121212115,1.245582527084178,24.55825270841781,OTM,2,15
AMZN,2025-04-17,AMZN250516C00220000,AMZN,2025-05-16 20:00:00,call,220,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.23,1,0.24,0.25,59,0.24,16142,2135,False,0.0,0.24,172.61,False,0.01999999999999999,0.0833333333333333,1.2745495625977636,27.454956259776363,OTM,2,15
AMZN,2025-04-17,AMZN250516C00225000,AMZN,2025-05-16 20:00:00,call,225,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.18,2,0.185,0.19,10,0.18,10606,1753,False,0.0,0.185,172.61,False,0.010000000000000009,0.054054054054054106,1.3035165981113492,30.35165981113492,OTM,2,15
AMZN,2025-04-17,AMZN250516C00230000,AMZN,2025-05-16 20:00:00,call,230,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.13,5,0.14,0.15,30,0.15,21966,723,False,0.0,0.14,172.61,False,0.01999999999999999,0.14285714285714277,1.3324836336249348,33.24836336249347,OTM,2,15
AMZN,2025-04-17,AMZN250516C00235000,AMZN,2025-05-16 20:00:00,call,235,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.1,19,0.125,0.15,223,0.11,14629,167,False,0.0,0.125,172.61,False,0.04999999999999999,0.3999999999999999,1.3614506691385202,36.14506691385203,OTM,2,15
AMZN,2025-04-17,AMZN250516C00240000,AMZN,2025-05-16 20:00:00,call,240,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.1,10,0.11,0.12,1,0.1,12734,1295,False,0.0,0.11,172.61,False,0.01999999999999999,0.18181818181818174,1.3904177046521058,39.041770465210575,OTM,2,15
AMZN,2025-04-17,AMZN250516C00245000,AMZN,2025-05-16 20:00:00,call,245,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.09,1,0.105,0.12,36,0.09,6284,327,False,0.0,0.105,172.61,False,0.03,0.2857142857142857,1.4193847401656914,41.93847401656913,OTM,2,15
AMZN,2025-04-17,AMZN250516P00100000,AMZN,2025-05-16 20:00:00,put,100,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.15,54,0.175,0.2,54,0.18,2923,156,False,0.0,0.175,172.61,False,0.05000000000000002,0.2857142857142858,0.5793407102717107,-42.06592897282893,OTM,2,15
AMZN,2025-04-17,AMZN250516P00105000,AMZN,2025-05-16 20:00:00,put,105,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.22,27,0.235,0.25,91,0.23,496,251,False,0.0,0.235,172.61,False,0.03,0.1276595744680851,0.6083077457852963,-39.16922542147037,OTM,2,15
AMZN,2025-04-17,AMZN250516P00110000,AMZN,2025-05-16 20:00:00,put,110,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.28,5,0.305,0.33,52,0.31,3980,2038,False,0.0,0.305,172.61,False,0.04999999999999999,0.16393442622950816,0.6372747812988818,-36.27252187011182,OTM,2,15
AMZN,2025-04-17,AMZN250516P00115000,AMZN,2025-05-16 20:00:00,put,115,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.37,24,0.395,0.42,75,0.37,365,1761,False,0.0,0.395,172.61,False,0.04999999999999999,0.1265822784810126,0.6662418168124674,-33.37581831875326,OTM,2,15
AMZN,2025-04-17,AMZN250516P00120000,AMZN,2025-05-16 20:00:00,put,120,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.48,25,0.5,0.52,87,0.5,2485,792,False,0.0,0.5,172.61,False,0.040000000000000036,0.08000000000000007,0.6952088523260529,-30.479114767394712,OTM,2,15
AMZN,2025-04-17,AMZN250516P00125000,AMZN,2025-05-16 20:00:00,put,125,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.6,51,0.625,0.65,52,0.66,3515,29,False,0.0,0.625,172.61,False,0.050000000000000044,0.08000000000000007,0.7241758878396385,-27.582411216036157,OTM,2,15
AMZN,2025-04-17,AMZN250516P00130000,AMZN,2025-05-16 20:00:00,put,130,2024-11-21 14:30:00,29,2025-04-17 20:00:00,0.77,27,0.8,0.83,19,0.82,2881,1132,False,0.0,0.8,172.61,False,0.05999999999999994,0.07499999999999993,0.753142923353224,-24.685707664677604,OTM,2,15
