ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid,spread,relative_spread,moneyness,moneyness_pct,moneyness_cat,phase,days_from_apr2
CAT,2025-08-18,CAT250822C00390000,CAT,2025-08-22 20:00:00,call,390.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,21.95,13,23.1,24.25,9,19.15,26,3,True,22.64,0.46,412.64,False,2.3000000000000007,0.0995670995670996,0.9451337727801474,-5.486622721985262,ITM,3,138
CAT,2025-08-18,CAT250822C00392500,CAT,2025-08-22 20:00:00,call,392.5,2025-08-08 13:30:00,4,2025-08-18 20:00:00,19.75,13,20.7,21.65,10,21.05,21,1,True,20.14,0.56,412.64,False,1.8999999999999986,0.0917874396135265,0.9511923226056611,-4.880767739433886,ITM,3,138
CAT,2025-08-18,CAT250822C00395000,CAT,2025-08-22 20:00:00,call,395.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,17.3,8,18.25,19.2,6,13.8,11,4,True,17.64,0.61,412.64,False,1.8999999999999986,0.10410958904109581,0.9572508724311749,-4.274912756882509,ITM,3,138
CAT,2025-08-18,CAT250822C00397500,CAT,2025-08-22 20:00:00,call,397.5,2025-08-08 13:30:00,4,2025-08-18 20:00:00,15.0,8,15.75,16.5,1,15.7,5,0,True,15.14,0.61,412.64,False,1.5,0.09523809523809523,0.9633094222566887,-3.669057774331133,ITM,3,138
CAT,2025-08-18,CAT250822C00400000,CAT,2025-08-22 20:00:00,call,400.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,12.65,28,13.325,14.0,17,13.8,13,10,True,12.64,0.685,412.64,False,1.3499999999999996,0.10131332082551593,0.9693679720822025,-3.0632027917797564,ITM,3,138
CAT,2025-08-18,CAT250822C00402500,CAT,2025-08-22 20:00:00,call,402.5,2025-08-08 13:30:00,4,2025-08-18 20:00:00,10.55,17,11.45,12.35,1,10.85,3,3,True,10.14,1.31,412.64,False,1.799999999999999,0.1572052401746724,0.9754265219077162,-2.45734780922838,ATM,3,138
CAT,2025-08-18,CAT250822C00405000,CAT,2025-08-22 20:00:00,call,405.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,8.95,22,9.45,9.95,17,8.9,83,42,True,7.64,1.81,412.64,False,1.0,0.10582010582010583,0.98148507173323,-1.8514928266770032,ATM,3,138
CAT,2025-08-18,CAT250822C00407500,CAT,2025-08-22 20:00:00,call,407.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,7.15,27,7.6,8.05,15,7.55,26,283,True,5.14,2.46,412.64,False,0.9000000000000004,0.118421052631579,0.9875436215587438,-1.2456378441256268,ATM,3,138
CAT,2025-08-18,CAT250822C00410000,CAT,2025-08-22 20:00:00,call,410.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,5.45,42,5.875,6.3,16,6.15,181,375,True,2.64,3.235,412.64,False,0.8499999999999996,0.14468085106382972,0.9936021713842575,-0.6397828615742503,ATM,3,138
CAT,2025-08-18,CAT250822C00412500,CAT,2025-08-22 20:00:00,call,412.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,4.2,37,4.5,4.8,25,4.6,124,979,True,0.14,4.36,412.64,False,0.5999999999999996,0.13333333333333325,0.9996607212097712,-0.03392787902287378,ATM,3,138
CAT,2025-08-18,CAT250822C00415000,CAT,2025-08-22 20:00:00,call,415.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,2.86,77,3.23,3.6,20,3.45,247,242,False,0.0,3.23,412.64,False,0.7400000000000002,0.2291021671826626,1.0057192710352851,0.5719271035285027,ATM,3,138
CAT,2025-08-18,CAT250822C00417500,CAT,2025-08-22 20:00:00,call,417.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,2.13,71,2.48,2.83,70,2.57,362,81,False,0.0,2.48,412.64,False,0.7000000000000002,0.2822580645161291,1.0117778208607988,1.1777820860798793,ATM,3,138
CAT,2025-08-18,CAT250822C00420000,CAT,2025-08-22 20:00:00,call,420.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,1.51,71,1.68,1.85,10,1.81,589,457,False,0.0,1.68,412.64,False,0.3400000000000001,0.20238095238095244,1.0178363706863125,1.783637068631256,ATM,3,138
CAT,2025-08-18,CAT250822C00422500,CAT,2025-08-22 20:00:00,call,422.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,1.04,4,1.16,1.28,1,1.28,166,56,False,0.0,1.16,412.64,False,0.24,0.20689655172413793,1.0238949205118264,2.3894920511826325,ATM,3,138
CAT,2025-08-18,CAT250822C00425000,CAT,2025-08-22 20:00:00,call,425.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,0.54,46,0.745,0.95,1,0.84,721,160,False,0.0,0.745,412.64,False,0.4099999999999999,0.5503355704697985,1.02995347033734,2.995347033734009,ATM,3,138
CAT,2025-08-18,CAT250822C00427500,CAT,2025-08-22 20:00:00,call,427.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,0.48,40,0.59,0.7,1,0.62,78,89,False,0.0,0.59,412.64,False,0.21999999999999997,0.37288135593220334,1.0360120201628538,3.6012020162853853,OTM,3,138
CAT,2025-08-18,CAT250822C00430000,CAT,2025-08-22 20:00:00,call,430.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,0.32,32,0.49,0.66,65,0.38,943,129,False,0.0,0.49,412.64,False,0.34,0.6938775510204083,1.0420705699883677,4.207056998836762,OTM,3,138
CAT,2025-08-18,CAT250822C00432500,CAT,2025-08-22 20:00:00,call,432.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,0.0,0,0.23,0.46,24,0.3,57,32,False,0.0,0.23,412.64,True,0.46,2.0,1.0481291198138813,4.8129119813881385,OTM,3,138
CAT,2025-08-18,CAT250822C00435000,CAT,2025-08-22 20:00:00,call,435.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,0.08,70,0.23,0.38,71,0.08,279,21,False,0.0,0.23,412.64,False,0.3,1.3043478260869563,1.0541876696393953,5.418766963939515,OTM,3,138
CAT,2025-08-18,CAT250822C00437500,CAT,2025-08-22 20:00:00,call,437.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,0.0,0,0.135,0.27,5,0.1,34,7,False,0.0,0.135,412.64,True,0.27,2.0,1.060246219464909,6.024621946490892,OTM,3,138
CAT,2025-08-18,CAT250822P00390000,CAT,2025-08-22 20:00:00,put,390.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,0.1,45,0.265,0.43,70,0.23,184,86,False,0.0,0.265,412.64,False,0.32999999999999996,1.2452830188679243,0.9451337727801474,-5.486622721985262,OTM,3,138
CAT,2025-08-18,CAT250822P00392500,CAT,2025-08-22 20:00:00,put,392.5,2025-08-08 13:30:00,4,2025-08-18 20:00:00,0.14,58,0.325,0.51,88,0.32,34,16,False,0.0,0.325,412.64,False,0.37,1.1384615384615384,0.9511923226056611,-4.880767739433886,OTM,3,138
CAT,2025-08-18,CAT250822P00395000,CAT,2025-08-22 20:00:00,put,395.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,0.34,29,0.445,0.55,42,0.44,184,61,False,0.0,0.445,412.64,False,0.21000000000000002,0.4719101123595506,0.9572508724311749,-4.274912756882509,OTM,3,138
CAT,2025-08-18,CAT250822P00397500,CAT,2025-08-22 20:00:00,put,397.5,2025-08-08 13:30:00,4,2025-08-18 20:00:00,0.53,18,0.685,0.84,49,0.6,71,71,False,0.0,0.685,412.64,False,0.30999999999999994,0.45255474452554734,0.9633094222566887,-3.669057774331133,OTM,3,138
CAT,2025-08-18,CAT250822P00400000,CAT,2025-08-22 20:00:00,put,400.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,0.8,3,0.94,1.08,39,0.9,228,463,False,0.0,0.94,412.64,False,0.28,0.29787234042553196,0.9693679720822025,-3.0632027917797564,OTM,3,138
