ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,iv,delta,gamma,theta,vega
AAPL,2025-05-05,AAPL250606C00125000,AAPL,2025-06-06 16:00:00 -04:00,call,125,2025-04-25 09:30:00 -04:00,32,2025-05-05 16:00:00 -04:00,73.15,105,74.0,74.85,105,0.0,0,0,True,73.89,0.11,198.89,,,,,
AAPL,2025-05-05,AAPL250606C00130000,AAPL,2025-06-06 16:00:00 -04:00,call,130,2025-04-25 09:30:00 -04:00,32,2025-05-05 16:00:00 -04:00,68.55,105,69.425,70.3,105,76.75,2,0,True,68.89,0.535,198.89,,,,,
AAPL,2025-05-05,AAPL250606C00135000,AAPL,2025-06-06 16:00:00 -04:00,call,135,2025-04-24 09:30:00 -04:00,32,2025-05-05 16:00:00 -04:00,63.25,107,64.125,65.0,111,0.0,0,0,True,63.89,0.235,198.89,,,,,
AAPL,2025-05-05,AAPL250606C00140000,AAPL,2025-06-06 16:00:00 -04:00,call,140,2025-04-24 09:30:00 -04:00,32,2025-05-05 16:00:00 -04:00,58.75,107,59.575,60.4,107,59.7,1,1,True,58.89,0.685,198.89,,,,,
AAPL,2025-05-05,AAPL250606C00145000,AAPL,2025-06-06 16:00:00 -04:00,call,145,2025-04-24 09:30:00 -04:00,32,2025-05-05 16:00:00 -04:00,53.75,111,54.475,55.2,107,61.4,2,0,True,53.89,0.585,198.89,,,,,
AAPL,2025-05-05,AAPL250606C00150000,AAPL,2025-06-06 16:00:00 -04:00,call,150,2025-04-24 09:30:00 -04:00,32,2025-05-05 16:00:00 -04:00,49.05,107,49.9,50.75,113,0.0,0,0,True,48.89,1.01,198.89,,,,,
AAPL,2025-05-05,AAPL250606C00155000,AAPL,2025-06-06 16:00:00 -04:00,call,155,2025-04-24 09:30:00 -04:00,32,2025-05-05 16:00:00 -04:00,43.95,109,44.6,45.25,107,55.98,1,0,True,43.89,0.71,198.89,,,,,
AAPL,2025-05-05,AAPL250606C00160000,AAPL,2025-06-06 16:00:00 -04:00,call,160,2025-04-24 09:30:00 -04:00,32,2025-05-05 16:00:00 -04:00,39.2,105,40.125,41.05,105,39.88,0,1,True,38.89,1.235,198.89,,,,,
AAPL,2025-05-05,AAPL250606C00165000,AAPL,2025-06-06 16:00:00 -04:00,call,165,2025-04-24 09:30:00 -04:00,32,2025-05-05 16:00:00 -04:00,34.05,105,35.15,36.25,105,35.23,1,10,True,33.89,1.26,198.89,,,,,
AAPL,2025-05-05,AAPL250606C00170000,AAPL,2025-06-06 16:00:00 -04:00,call,170,2025-04-24 09:30:00 -04:00,32,2025-05-05 16:00:00 -04:00,29.55,113,30.5,31.45,118,30.5,14,2,True,28.89,1.61,198.89,,,,,
