ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,iv,delta,gamma,theta,vega
AMZN,2025-09-15,AMZN251219C00185000,AMZN,2025-12-19 16:00:00 -05:00,call,185,2023-06-07 09:30:00 -04:00,95,2025-09-15 16:00:00 -04:00,50.35,70,50.475,50.6,26,50.25,1907,10,True,46.43,4.045,231.43,,,,,
AMZN,2025-09-15,AMZN251219C00190000,AMZN,2025-12-19 16:00:00 -05:00,call,190,2023-06-27 09:30:00 -04:00,95,2025-09-15 16:00:00 -04:00,45.85,54,45.975,46.1,29,46.42,3063,21,True,41.43,4.545,231.43,,,,,
AMZN,2025-09-15,AMZN251219C00195000,AMZN,2025-12-19 16:00:00 -05:00,call,195,2023-06-27 09:30:00 -04:00,95,2025-09-15 16:00:00 -04:00,41.5,39,41.625,41.75,52,41.19,3106,10,True,36.43,5.195,231.43,,,,,
AMZN,2025-09-15,AMZN251219C00200000,AMZN,2025-12-19 16:00:00 -05:00,call,200,2023-07-14 09:30:00 -04:00,95,2025-09-15 16:00:00 -04:00,37.3,25,37.4,37.5,25,37.1,6335,147,True,31.43,5.97,231.43,,,,,
AMZN,2025-09-15,AMZN251219C00205000,AMZN,2025-12-19 16:00:00 -05:00,call,205,2023-12-22 09:30:00 -05:00,95,2025-09-15 16:00:00 -04:00,33.25,29,33.325,33.4,25,33.02,6580,17,True,26.43,6.895,231.43,,,,,
AMZN,2025-09-15,AMZN251219C00210000,AMZN,2025-12-19 16:00:00 -05:00,call,210,2023-08-08 09:30:00 -04:00,95,2025-09-15 16:00:00 -04:00,29.4,8,29.45,29.5,22,29.35,5518,99,True,21.43,8.02,231.43,,,,,
AMZN,2025-09-15,AMZN251219C00215000,AMZN,2025-12-19 16:00:00 -05:00,call,215,2023-12-22 09:30:00 -05:00,95,2025-09-15 16:00:00 -04:00,25.75,9,25.825,25.9,45,25.56,5777,71,True,16.43,9.395,231.43,,,,,
AMZN,2025-09-15,AMZN251219C00220000,AMZN,2025-12-19 16:00:00 -05:00,call,220,2023-11-15 09:30:00 -05:00,95,2025-09-15 16:00:00 -04:00,22.3,30,22.425,22.55,85,22.1,8587,462,True,11.43,10.995,231.43,,,,,
AMZN,2025-09-15,AMZN251219C00225000,AMZN,2025-12-19 16:00:00 -05:00,call,225,2023-12-22 09:30:00 -05:00,95,2025-09-15 16:00:00 -04:00,19.25,9,19.3,19.35,30,19.13,6369,159,True,6.43,12.87,231.43,,,,,
AMZN,2025-09-15,AMZN251219C00230000,AMZN,2025-12-19 16:00:00 -05:00,call,230,2023-12-22 09:30:00 -05:00,95,2025-09-15 16:00:00 -04:00,16.4,13,16.45,16.5,21,16.37,7980,931,True,1.43,15.02,231.43,,,,,
AMZN,2025-09-15,AMZN251219C00235000,AMZN,2025-12-19 16:00:00 -05:00,call,235,2024-01-26 09:30:00 -05:00,95,2025-09-15 16:00:00 -04:00,13.85,30,13.9,13.95,10,13.85,24876,4463,False,0.0,13.9,231.43,,,,,
