ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,iv,delta,gamma,theta,vega
PG,2025-07-14,PG251017C00105000,PG,2025-10-17 16:00:00 -04:00,call,105,2025-02-25 09:30:00 -05:00,95,2025-07-14 16:00:00 -04:00,48.75,73,49.725,50.7,72,56.75,1,0,True,48.76,0.965,153.76,,,,,
PG,2025-07-14,PG251017C00110000,PG,2025-10-17 16:00:00 -04:00,call,110,2025-02-21 09:30:00 -05:00,95,2025-07-14 16:00:00 -04:00,43.95,37,44.45,44.95,24,49.48,8,0,True,43.76,0.69,153.76,,,,,
PG,2025-07-14,PG251017C00115000,PG,2025-10-17 16:00:00 -04:00,call,115,2025-02-21 09:30:00 -05:00,95,2025-07-14 16:00:00 -04:00,37.75,77,39.05,40.35,79,0.0,0,0,True,38.76,0.29,153.76,,,,,
PG,2025-07-14,PG251017C00120000,PG,2025-10-17 16:00:00 -04:00,call,120,2025-02-21 09:30:00 -05:00,95,2025-07-14 16:00:00 -04:00,34.05,72,35.35,36.65,74,0.0,0,0,True,33.76,1.59,153.76,,,,,
PG,2025-07-14,PG251017C00125000,PG,2025-10-17 16:00:00 -04:00,call,125,2025-02-21 09:30:00 -05:00,95,2025-07-14 16:00:00 -04:00,29.55,13,29.925,30.3,11,35.9,3,0,True,28.76,1.165,153.76,,,,,
PG,2025-07-14,PG251017C00130000,PG,2025-10-17 16:00:00 -04:00,call,130,2025-02-21 09:30:00 -05:00,95,2025-07-14 16:00:00 -04:00,24.9,12,25.3,25.7,15,24.85,28,1,True,23.76,1.54,153.76,,,,,
PG,2025-07-14,PG251017C00135000,PG,2025-10-17 16:00:00 -04:00,call,135,2025-02-21 09:30:00 -05:00,95,2025-07-14 16:00:00 -04:00,20.5,24,21.375,22.25,161,21.5,5,1,True,18.76,2.615,153.76,,,,,
PG,2025-07-14,PG251017C00140000,PG,2025-10-17 16:00:00 -04:00,call,140,2025-02-21 09:30:00 -05:00,95,2025-07-14 16:00:00 -04:00,16.15,17,16.6,17.05,172,16.61,36,6,True,13.76,2.84,153.76,,,,,
PG,2025-07-14,PG251017C00145000,PG,2025-10-17 16:00:00 -04:00,call,145,2025-02-21 09:30:00 -05:00,95,2025-07-14 16:00:00 -04:00,12.4,109,12.525,12.65,19,12.8,121,10,True,8.76,3.765,153.76,,,,,
PG,2025-07-14,PG251017C00150000,PG,2025-10-17 16:00:00 -04:00,call,150,2025-02-21 09:30:00 -05:00,95,2025-07-14 16:00:00 -04:00,9.0,38,9.05,9.1,2,9.1,176,270,True,3.76,5.29,153.76,,,,,
